state,county,population_density
AK,North Slope Borough,0.10
AK,Lake and Peninsula Borough,0.05
AK,Nome Census Area,0.34
AK,Ketchikan,2.03
AK,Aleutians East Borough,0.21
AK,Aleutians West Census Area,0.39
AK,Haines,0.92
AK,Kenai,2.24
AK,Anchorage Municipality,149.46
AK,Juneau,9.65
AK,Anchorage,149.46
AK,Dillingham Census Area,0.23
AK,Kenai Peninsula Borough,2.24
AK,Northwest Arctic Borough,0.19
AK,Hoonah-Angoon,0.22
AK,Prince of Wales-Hyder Census Area,0.57
AK,Denali Borough,0.14
AK,Haines Borough,0.92
AK,Bristol Bay Borough,1.13
AK,Bristol,1.13
AK,Yakutat City and Borough,0.07
AK,Kodiak Island Borough,1.13
AK,Ketchikan Gateway Borough,2.03
AK,Sitka City and Borough,1.85
AK,Skagway Municipality,2.08
AK,Fairbanks,13.18
AK,Matanuska-Susitna Borough,3.55
AK,Bethel Census Area,0.38
AK,Wrangell City and Borough,0.68
AK,Southeast Fairbanks Census Area,0.28
AK,Kodiak,1.13
AK,Aleutians,0.39
AK,Wade Hampton Census Area,0.38
AK,Bethel,0.38
AK,Aleutians,0.21
AK,Petersburg Census Area,0.83
AK,Valdez-Cordova Census Area,0.24
AK,Dillingham,0.23
AK,Lake,0.05
AK,Yukon-Koyukuk Census Area,0.04
AK,Juneau City and Borough,9.65
AK,Hoonah-Angoon Census Area,0.22
AK,Fairbanks North Star Borough,13.18
AK,Denali,0.14
AL,Crenshaw,22.70
AL,Covington,36.20
AL,Hale,23.96
AL,Walker,83.20
AL,Crenshaw,22.70
AL,Autauga,90.48
AL,Jackson,47.18
AL,Russell,82.32
AL,Cherokee,43.28
AL,Conecuh,15.50
AL,Jackson,47.18
AL,Coffee,73.74
AL,Bibb,36.54
AL,Lamar,23.95
AL,Barbour,30.22
AL,Choctaw,15.04
AL,Morgan,199.58
AL,Monroe,22.24
AL,Blount,88.14
AL,Chambers,56.56
AL,Coosa,17.64
AL,Hale,23.96
AL,Franklin,49.12
AL,St. Clair,128.21
AL,Covington,36.20
AL,Chilton,62.33
AL,Baldwin,90.37
AL,Limestone,136.99
AL,Sumter,15.05
AL,Jefferson,585.77
AL,Colbert,87.41
AL,Marion,41.44
AL,Conecuh,15.50
AL,Clarke,20.58
AL,Marshall,149.51
AL,Butler,26.93
AL,Clay,22.91
AL,Greene,13.63
AL,Winston,38.63
AL,Clay,22.91
AL,Geneva,46.28
AL,Calhoun,193.44
AL,Bullock,17.41
AL,Geneva,46.28
AL,Wilcox,12.76
AL,Bibb,36.54
AL,Choctaw,15.04
AL,Coosa,17.64
AL,Henry,30.42
AL,Washington,16.17
AL,Cleburne,26.68
AL,Cleburne,26.68
AL,Tallapoosa,54.15
AL,Talladega,107.94
AL,Blount,88.14
AL,Clarke,20.58
AL,Marengo,21.32
AL,Greene,13.63
AL,Houston,175.00
